identifier ,condition,income_level
,,
1004,control,non-LMI
,,
1008,control,non-LMI
,,
1011,control,non-LMI
,,
1013,control,non-LMI
,,
1018,control,non-LMI
,,
1029,control,non-LMI
,,
1031,control,non-LMI
,,
1039,control,non-LMI
,,
1045,control,non-LMI
,,
1048,control,non-LMI
,,
1049,control,non-LMI
,,
1050,control,non-LMI
,,
1052,control,non-LMI
,,
1054,control,non-LMI
,,
1055,control,non-LMI
,,
1058,control,non-LMI
,,
1068,control,non-LMI
,,
1071,control,non-LMI
,,
1074,control,non-LMI
,,
1080,control,non-LMI
,,
1083,control,non-LMI
,,
1090,control,non-LMI
,,
1096,control,non-LMI
,,
1100,control,non-LMI
,,
1102,control,non-LMI
,,
1104,control,non-LMI
,,
1107,control,non-LMI
,,
1116,control,non-LMI
,,
1123,control,non-LMI
,,
1128,control,non-LMI
,,
1130,control,non-LMI
,,
1137,control,non-LMI
,,
1144,control,non-LMI
,,
1156,control,non-LMI
,,
1162,control,non-LMI
,,
1163,control,non-LMI
,,
1166,control,non-LMI
,,
1168,control,non-LMI
,,
1171,control,non-LMI
,,
1180,control,non-LMI
,,
1183,control,non-LMI
,,
1184,control,non-LMI
,,
1187,control,non-LMI
,,
1192,control,non-LMI
,,
1195,control,non-LMI
,,
1200,control,non-LMI
,,
1203,control,non-LMI
,,
1206,control,non-LMI
,,
1207,control,non-LMI
,,
1211,control,non-LMI
,,
1213,control,non-LMI
,,
1216,control,non-LMI
,,
1217,control,non-LMI
,,
1221,control,non-LMI
,,
1223,control,non-LMI
,,
1224,control,non-LMI
,,
1225,control,non-LMI
,,
1227,control,non-LMI
,,
1229,control,non-LMI
,,
1235,control,non-LMI
,,
1253,control,non-LMI
,,
1255,control,non-LMI
,,
1257,control,non-LMI
,,
1262,control,non-LMI
,,
1266,control,non-LMI
,,
1269,control,non-LMI
,,
1271,control,non-LMI
,,
1278,control,non-LMI
,,
1279,control,non-LMI
,,
1281,control,non-LMI
,,
1287,control,non-LMI
,,
1289,control,non-LMI
,,
1294,control,non-LMI
,,
1299,control,non-LMI
,,
1301,control,non-LMI
,,
1303,control,non-LMI
,,
1309,control,non-LMI
,,
1314,control,non-LMI
,,
1318,control,non-LMI
,,
1319,control,non-LMI
,,
1327,control,non-LMI
,,
1328,control,non-LMI
,,
1330,control,non-LMI
,,
1332,control,non-LMI
,,
1333,control,non-LMI
,,
1341,control,non-LMI
,,
1342,control,non-LMI
,,
1344,control,non-LMI
,,
1346,control,non-LMI
,,
1348,control,non-LMI
,,
1351,control,non-LMI
,,
1356,control,non-LMI
,,
1368,control,non-LMI
,,
1370,control,non-LMI
,,
1373,control,non-LMI
,,
1376,control,non-LMI
,,
1379,control,non-LMI
,,
1381,control,non-LMI
,,
1387,control,non-LMI
,,
1388,control,non-LMI
,,
1412,control,non-LMI
,,
1414,control,non-LMI
,,
1424,control,non-LMI
,,
1430,control,non-LMI
,,
1431,control,non-LMI
,,
1434,control,non-LMI
,,
1441,control,non-LMI
,,
1443,control,non-LMI
,,
1449,control,non-LMI
,,
1455,control,non-LMI
,,
1459,control,non-LMI
,,
1467,control,non-LMI
,,
1472,control,non-LMI
,,
1473,control,non-LMI
,,
1480,control,non-LMI
,,
1481,control,non-LMI
,,
1485,control,non-LMI
,,
1487,control,non-LMI
,,
1492,control,non-LMI
,,
1495,control,non-LMI
,,
1497,control,non-LMI
,,
1501,control,non-LMI
,,
1505,control,non-LMI
,,
1506,control,non-LMI
,,
1511,control,non-LMI
,,
1513,control,non-LMI
,,
1515,control,non-LMI
,,
1516,control,non-LMI
,,
1519,control,non-LMI
,,
1521,control,non-LMI
,,
1526,control,non-LMI
,,
1529,control,non-LMI
,,
1530,control,non-LMI
,,
1532,control,non-LMI
,,
1533,control,non-LMI
,,
1534,control,non-LMI
,,
1541,control,non-LMI
,,
1544,control,non-LMI
,,
1549,control,non-LMI
,,
1552,control,non-LMI
,,
1560,control,non-LMI
,,
1565,control,non-LMI
,,
1571,control,non-LMI
,,
1572,control,non-LMI
,,
1574,control,non-LMI
,,
1583,control,non-LMI
,,
1584,control,non-LMI
,,
1587,control,non-LMI
,,
1590,control,non-LMI
,,
1595,control,non-LMI
,,
1596,control,non-LMI
,,
1599,control,non-LMI
,,
1002,recommendation,non-LMI
,,
1010,recommendation,non-LMI
,,
1019,recommendation,non-LMI
,,
1020,recommendation,non-LMI
,,
1021,recommendation,non-LMI
,,
1025,recommendation,non-LMI
,,
1028,recommendation,non-LMI
,,
1035,recommendation,non-LMI
,,
1038,recommendation,non-LMI
,,
1040,recommendation,non-LMI
,,
1047,recommendation,non-LMI
,,
1075,recommendation,non-LMI
,,
1081,recommendation,non-LMI
,,
1084,recommendation,non-LMI
,,
1086,recommendation,non-LMI
,,
1089,recommendation,non-LMI
,,
1091,recommendation,non-LMI
,,
1098,recommendation,non-LMI
,,
1108,recommendation,non-LMI
,,
1109,recommendation,non-LMI
,,
1110,recommendation,non-LMI
,,
1112,recommendation,non-LMI
,,
1113,recommendation,non-LMI
,,
1114,recommendation,non-LMI
,,
1121,recommendation,non-LMI
,,
1124,recommendation,non-LMI
,,
1125,recommendation,non-LMI
,,
1126,recommendation,non-LMI
,,
1134,recommendation,non-LMI
,,
1136,recommendation,non-LMI
,,
1140,recommendation,non-LMI
,,
1145,recommendation,non-LMI
,,
1148,recommendation,non-LMI
,,
1158,recommendation,non-LMI
,,
1159,recommendation,non-LMI
,,
1164,recommendation,non-LMI
,,
1174,recommendation,non-LMI
,,
1178,recommendation,non-LMI
,,
1181,recommendation,non-LMI
,,
1186,recommendation,non-LMI
,,
1190,recommendation,non-LMI
,,
1196,recommendation,non-LMI
,,
1199,recommendation,non-LMI
